Ref,Val,Package,PosX,PosY,Rot,Side
C1,12 pF,C_0402_1005Metric,-17.017722,20.533442,-90,bottom
C2,12 pF,C_0402_1005Metric,-15.967721,20.533443,-90,bottom
C3,NC,C_0402_1005Metric,-14.865303,38.684002,0,bottom
C4,0.5 pF,C_0402_1005Metric,-14.865303,35.978443,0,bottom
C5,0.8 pF,C_0402_1005Metric,-15.8253,32.978447,180,bottom
C6,12 pF,C_0402_1005Metric,-20.275301,35.128445,180,bottom
C7,12 pF,C_0402_1005Metric,-20.255299,31.128442,0,bottom
C8,1 uF,C_0402_1005Metric,-20.525301,26.728442,90,bottom
C9,47 nF,C_0402_1005Metric,-19.4253,26.728442,90,bottom
C10,4.7 uF,C_0402_1005Metric,-11.5703,23.513441,-90,bottom
C11,820 pF,C_0402_1005Metric,-13.030301,33.708434,90,bottom
C12,100 pF,C_0402_1005Metric,-17.575297,33.328442,90,bottom
C13,100 nF,C_0402_1005Metric,-17.855302,23.078446,-90,bottom
C14,1 uF,C_0402_1005Metric,-18.955299,23.078448,-90,bottom
C15,4.7 uF,C_0402_1005Metric,-12.625301,23.513445,-90,bottom
C16,100 nF,C_0402_1005Metric,-9.655303,28.678442,180,bottom
C17,100 nF,C_0402_1005Metric,-9.655298,31.178444,180,bottom
C18,100 nF,C_0402_1005Metric,-19.575297,30.028443,0,bottom
C19,4.7 uF,C_0402_1005Metric,-9.675298,25.628443,180,bottom
C20,4.7 uF,C_0402_1005Metric,-9.675301,24.528442,180,bottom
C21,4.7uF,C_0402_1005Metric,17.112729,28.55104,-90,bottom
C22,1uF,C_0402_1005Metric,16.012728,28.556571,-90,bottom
C23,4.7uF,C_0402_1005Metric,12.802196,25.76844,0,bottom
C24,1uF,C_0402_1005Metric,12.802199,26.868439,0,bottom
C25,4.7uF,C_0402_1005Metric,12.802197,33.568443,0,bottom
C26,1uF,C_0402_1005Metric,12.802201,32.46844,0,bottom
C27,100n,C_0402_1005Metric,6.624696,28.473441,180,bottom
C28,100 nF,R_0402_1005Metric,-4.649996,39.684002,0,bottom
D1,1N4148WT,D_SOD-523,101.025706,32.347312,72,bottom
D2,1N4148WT,D_SOD-523,82.608382,30.7793,72,bottom
D3,1N4148WT,D_SOD-523,64.191493,29.211434,72,bottom
D4,1N4148WT,D_SOD-523,45.774603,27.643566,72,bottom
D5,1N4148WT,D_SOD-523,29.953455,18.086823,-108,bottom
D6,1N4148WT,D_SOD-523,14.132312,8.530079,-108,bottom
D7,1N4148WT,D_SOD-523,-25.544986,12.238281,108,bottom
D8,1N4148WT,D_SOD-523,-41.366133,21.79502,108,bottom
D9,1N4148WT,D_SOD-523,-57.187279,31.351766,108,bottom
D10,1N4148WT,D_SOD-523,-75.604168,32.919634,-72,bottom
D11,1N4148WT,D_SOD-523,-94.021057,34.487502,-72,bottom
D12,1N4148WT,D_SOD-523,-112.437947,36.055374,-72,bottom
D13,1N4148WT,D_SOD-523,106.278559,16.179209,72,bottom
D14,1N4148WT,D_SOD-523,87.862621,14.61165,72,bottom
D15,1N4148WT,D_SOD-523,69.444779,13.043474,72,bottom
D16,1N4148WT,D_SOD-523,51.027893,11.475605,72,bottom
D17,1N4148WT,D_SOD-523,35.206748,1.91886,-108,bottom
D18,1N4148WT,D_SOD-523,19.385603,-7.637884,-108,bottom
D19,1N4148WT,D_SOD-523,-30.798276,-3.929681,108,bottom
D20,1N4148WT,D_SOD-523,-46.619422,5.627059,108,bottom
D21,1N4148WT,D_SOD-523,-62.440566,15.183805,108,bottom
D22,1N4148WT,D_SOD-523,-80.857457,16.751676,-72,bottom
D23,1N4148WT,D_SOD-523,-99.274347,18.319541,-72,bottom
D24,1N4148WT,D_SOD-523,-117.691236,19.887406,-72,bottom
D25,1N4148WT,D_SOD-523,111.531845,0.011247,72,bottom
D26,1N4148WT,D_SOD-523,93.114958,-1.55662,72,bottom
D27,1N4148WT,D_SOD-523,74.698069,-3.124489,72,bottom
D28,1N4148WT,D_SOD-523,56.28118,-4.692357,72,bottom
D29,1N4148WT,D_SOD-523,40.460035,-14.249098,-108,bottom
D30,1N4148WT,D_SOD-523,24.638891,-23.805843,-108,bottom
D31,1N4148WT,D_SOD-523,-36.051565,-20.097642,108,bottom
D32,1N4148WT,D_SOD-523,-51.872714,-10.540898,108,bottom
D33,1N4148WT,D_SOD-523,-67.69386,-0.984155,108,bottom
D34,1N4148WT,D_SOD-523,-86.110746,0.583712,-72,bottom
D35,1N4148WT,D_SOD-523,-104.527635,2.151579,-72,bottom
D36,1N4148WT,D_SOD-523,-122.944525,3.71945,-72,bottom
